"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"FSL215","KKI2009","F","F","N","N","H","L",21,1,42,112,0.751190476190476
"FSL35","KKI2009","F","N","S","G","A","N",21,1,42,117,0.924404761904762
"FSL117","KKI2009","F","N","S","G","A","P",21,1,42,117,0.926785714285714
"FSL216","KKI2009","F","N","S","G","A","L",21,1,42,117,0.905952380952381
"FSL36","KKI2009","F","N","S","G","C","N",21,1,42,201,0.946428571428571
"FSL118","KKI2009","F","N","S","G","C","P",21,1,42,201,0.944642857142857
"FSL217","KKI2009","F","N","S","G","C","L",21,1,42,201,0.917261904761905
"FSL37","KKI2009","F","N","S","G","D","N",21,1,42,71,0.872619047619048
"FSL119","KKI2009","F","N","S","G","D","P",21,1,42,71,0.883928571428571
"FSL218","KKI2009","F","N","S","G","D","L",21,1,42,71,0.838690476190476
"FSL38","KKI2009","F","N","S","G","H","N",21,1,42,112,0.90297619047619
"FSL120","KKI2009","F","N","S","G","H","P",21,1,42,112,0.920238095238095
"FSL219","KKI2009","F","N","S","G","H","L",21,1,42,112,0.891071428571429
"FSL39","KKI2009","F","N","S","N","A","N",21,1,42,117,0.802380952380952
"FSL121","KKI2009","F","N","S","N","A","P",21,1,42,117,0.879761904761905
"FSL220","KKI2009","F","N","S","N","A","L",21,1,42,117,0.823809523809524
"FSL40","KKI2009","F","N","S","N","C","N",21,1,42,201,0.844047619047619
"FSL122","KKI2009","F","N","S","N","C","P",21,1,42,201,0.91547619047619
"FSL221","KKI2009","F","N","S","N","C","L",21,1,42,201,0.817261904761905
"FSL41","KKI2009","F","N","S","N","D","N",21,1,42,71,0.766071428571429
"FSL123","KKI2009","F","N","S","N","D","P",21,1,42,71,0.882738095238095
"FSL222","KKI2009","F","N","S","N","D","L",21,1,42,71,0.766071428571429
"FSL42","KKI2009","F","N","S","N","H","N",21,1,42,112,0.805357142857143
"FSL124","KKI2009","F","N","S","N","H","P",21,1,42,112,0.872619047619048
