"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"FSL1267","IPCAS2","F","F","S","N","D","P",35,2,70,71,0.928571428571429
"FSL2262","IPCAS2","F","F","S","N","D","L",35,2,70,71,0.721848739495798
"FSL458","IPCAS2","F","F","S","N","H","N",35,2,70,112,0.844747899159664
"FSL1268","IPCAS2","F","F","S","N","H","P",35,2,70,112,0.938235294117647
"FSL2263","IPCAS2","F","F","S","N","H","L",35,2,70,112,0.706512605042017
"FSL459","IPCAS2","F","F","N","G","A","N",35,2,70,117,0.930042016806723
"FSL1269","IPCAS2","F","F","N","G","A","P",35,2,70,117,0.947058823529412
"FSL2264","IPCAS2","F","F","N","G","A","L",35,2,70,117,0.922899159663866
"FSL460","IPCAS2","F","F","N","G","C","N",35,2,70,201,0.957563025210084
"FSL1270","IPCAS2","F","F","N","G","C","P",35,2,70,201,0.977100840336134
"FSL2265","IPCAS2","F","F","N","G","C","L",35,2,70,201,0.973529411764706
"FSL461","IPCAS2","F","F","N","G","D","N",35,2,70,71,0.919117647058823
"FSL1271","IPCAS2","F","F","N","G","D","P",35,2,70,71,0.93718487394958
"FSL2266","IPCAS2","F","F","N","G","D","L",35,2,70,71,0.906512605042017
"FSL462","IPCAS2","F","F","N","G","H","N",35,2,70,112,0.948109243697479
"FSL1272","IPCAS2","F","F","N","G","H","P",35,2,70,112,0.967647058823529
"FSL2267","IPCAS2","F","F","N","G","H","L",35,2,70,112,0.796638655462185
"FSL463","IPCAS2","F","F","N","N","A","N",35,2,70,117,0.784243697478992
"FSL1273","IPCAS2","F","F","N","N","A","P",35,2,70,117,0.899159663865546
"FSL2268","IPCAS2","F","F","N","N","A","L",35,2,70,117,0.725840336134454
"FSL464","IPCAS2","F","F","N","N","C","N",35,2,70,201,0.900210084033613
"FSL1274","IPCAS2","F","F","N","N","C","P",35,2,70,201,0.983193277310924
"FSL2269","IPCAS2","F","F","N","N","C","L",35,2,70,201,0.835294117647059
"FSL465","IPCAS2","F","F","N","N","D","N",35,2,70,71,0.747268907563025
"FSL1275","IPCAS2","F","F","N","N","D","P",35,2,70,71,0.922478991596639
"FSL2270","IPCAS2","F","F","N","N","D","L",35,2,70,71,0.706302521008403
"FSL466","IPCAS2","F","F","N","N","H","N",35,2,70,112,0.834663865546219
"FSL1276","IPCAS2","F","F","N","N","H","P",35,2,70,112,0.932983193277311
"FSL2271","IPCAS2","F","F","N","N","H","L",35,2,70,112,0.707352941176471
"FSL467","IPCAS2","F","N","S","G","A","N",35,2,70,117,0.929831932773109
"FSL1277","IPCAS2","F","N","S","G","A","P",35,2,70,117,0.938865546218487
"FSL2272","IPCAS2","F","N","S","G","A","L",35,2,70,117,0.908823529411765
"FSL468","IPCAS2","F","N","S","G","C","N",35,2,70,201,0.962394957983193
"FSL1278","IPCAS2","F","N","S","G","C","P",35,2,70,201,0.974579831932773
"FSL2273","IPCAS2","F","N","S","G","C","L",35,2,70,201,0.975420168067227
"FSL469","IPCAS2","F","N","S","G","D","N",35,2,70,71,0.922899159663866
"FSL1279","IPCAS2","F","N","S","G","D","P",35,2,70,71,0.929201680672269
"FSL2274","IPCAS2","F","N","S","G","D","L",35,2,70,71,0.907773109243697
"FSL470","IPCAS2","F","N","S","G","H","N",35,2,70,112,0.940756302521008
"FSL1280","IPCAS2","F","N","S","G","H","P",35,2,70,112,0.951680672268908
"FSL2275","IPCAS2","F","N","S","G","H","L",35,2,70,112,0.784243697478992
"FSL471","IPCAS2","F","N","S","N","A","N",35,2,70,117,0.811344537815126
"FSL1281","IPCAS2","F","N","S","N","A","P",35,2,70,117,0.912394957983193
"FSL2276","IPCAS2","F","N","S","N","A","L",35,2,70,117,0.766386554621849
"FSL472","IPCAS2","F","N","S","N","C","N",35,2,70,201,0.919117647058823
"FSL1282","IPCAS2","F","N","S","N","C","P",35,2,70,201,0.989075630252101
"FSL2277","IPCAS2","F","N","S","N","C","L",35,2,70,201,0.845168067226891
"FSL473","IPCAS2","F","N","S","N","D","N",35,2,70,71,0.780882352941176
"FSL1283","IPCAS2","F","N","S","N","D","P",35,2,70,71,0.93046218487395
"FSL2278","IPCAS2","F","N","S","N","D","L",35,2,70,71,0.728781512605042
"FSL474","IPCAS2","F","N","S","N","H","N",35,2,70,112,0.853361344537815
"FSL1284","IPCAS2","F","N","S","N","H","P",35,2,70,112,0.935084033613445
"FSL2279","IPCAS2","F","N","S","N","H","L",35,2,70,112,0.707563025210084
"FSL475","IPCAS2","F","N","N","G","A","N",35,2,70,117,0.918697478991597
"FSL1285","IPCAS2","F","N","N","G","A","P",35,2,70,117,0.939285714285714
"FSL2280","IPCAS2","F","N","N","G","A","L",35,2,70,117,0.925840336134454
"FSL476","IPCAS2","F","N","N","G","C","N",35,2,70,201,0.958193277310924
"FSL1286","IPCAS2","F","N","N","G","C","P",35,2,70,201,0.971428571428571
"FSL2281","IPCAS2","F","N","N","G","C","L",35,2,70,201,0.977310924369748
"FSL477","IPCAS2","F","N","N","G","D","N",35,2,70,71,0.920168067226891
"FSL1287","IPCAS2","F","N","N","G","D","P",35,2,70,71,0.931932773109244
"FSL2282","IPCAS2","F","N","N","G","D","L",35,2,70,71,0.913655462184874
"FSL478","IPCAS2","F","N","N","G","H","N",35,2,70,112,0.938025210084034
"FSL1288","IPCAS2","F","N","N","G","H","P",35,2,70,112,0.95
"FSL2283","IPCAS2","F","N","N","G","H","L",35,2,70,112,0.782983193277311
"FSL479","IPCAS2","F","N","N","N","A","N",35,2,70,117,0.8
"FSL1289","IPCAS2","F","N","N","N","A","P",35,2,70,117,0.907142857142857
"FSL2284","IPCAS2","F","N","N","N","A","L",35,2,70,117,0.753781512605042
"FSL480","IPCAS2","F","N","N","N","C","N",35,2,70,201,0.908823529411765
"FSL1290","IPCAS2","F","N","N","N","C","P",35,2,70,201,0.984033613445378
"FSL2285","IPCAS2","F","N","N","N","C","L",35,2,70,201,0.832983193277311
"FSL481","IPCAS2","F","N","N","N","D","N",35,2,70,71,0.772268907563025
"FSL1291","IPCAS2","F","N","N","N","D","P",35,2,70,71,0.926680672268908
"FSL2286","IPCAS2","F","N","N","N","D","L",35,2,70,71,0.722268907563025
"FSL482","IPCAS2","F","N","N","N","H","N",35,2,70,112,0.842226890756303
"FSL1292","IPCAS2","F","N","N","N","H","P",35,2,70,112,0.929831932773109
"FSL2287","IPCAS2","F","N","N","N","H","L",35,2,70,112,0.699579831932773
"ANT483","IPCAS5","A","F","S","G","A","N",22,2,44,117,0.909632034632035
"ANT1293","IPCAS5","A","F","S","G","A","P",22,2,44,117,0.899891774891775
"ANT2288","IPCAS5","A","F","S","G","A","L",22,2,44,117,0.907467532467532
"ANT484","IPCAS5","A","F","S","G","C","N",22,2,44,201,0.935064935064935
"ANT1294","IPCAS5","A","F","S","G","C","P",22,2,44,201,0.932900432900433
"ANT2289","IPCAS5","A","F","S","G","C","L",22,2,44,201,0.927489177489177
"ANT485","IPCAS5","A","F","S","G","D","N",22,2,44,71,0.873376623376623
"ANT1295","IPCAS5","A","F","S","G","D","P",22,2,44,71,0.870670995670996
"ANT2290","IPCAS5","A","F","S","G","D","L",22,2,44,71,0.838203463203463
"ANT486","IPCAS5","A","F","S","G","H","N",22,2,44,112,0.904761904761905
"ANT1296","IPCAS5","A","F","S","G","H","P",22,2,44,112,0.9004329004329
"ANT2291","IPCAS5","A","F","S","G","H","L",22,2,44,112,0.869588744588745
"ANT487","IPCAS5","A","F","S","N","A","N",22,2,44,117,0.876623376623377
"ANT1297","IPCAS5","A","F","S","N","A","P",22,2,44,117,0.922077922077922
"ANT2292","IPCAS5","A","F","S","N","A","L",22,2,44,117,0.824134199134199
"ANT488","IPCAS5","A","F","S","N","C","N",22,2,44,201,0.889069264069264
"ANT1298","IPCAS5","A","F","S","N","C","P",22,2,44,201,0.957792207792208
"ANT2293","IPCAS5","A","F","S","N","C","L",22,2,44,201,0.867965367965368
"ANT489","IPCAS5","A","F","S","N","D","N",22,2,44,71,0.84469696969697
"ANT1299","IPCAS5","A","F","S","N","D","P",22,2,44,71,0.903138528138528
"ANT2294","IPCAS5","A","F","S","N","D","L",22,2,44,71,0.760822510822511
"ANT490","IPCAS5","A","F","S","N","H","N",22,2,44,112,0.854978354978355
"ANT1300","IPCAS5","A","F","S","N","H","P",22,2,44,112,0.908008658008658
"ANT2295","IPCAS5","A","F","S","N","H","L",22,2,44,112,0.826298701298701
"ANT491","IPCAS5","A","F","N","G","A","N",22,2,44,117,0.91017316017316
"ANT1301","IPCAS5","A","F","N","G","A","P",22,2,44,117,0.897186147186147
"ANT2296","IPCAS5","A","F","N","G","A","L",22,2,44,117,0.903679653679654
"ANT492","IPCAS5","A","F","N","G","C","N",22,2,44,201,0.933441558441558
"ANT1302","IPCAS5","A","F","N","G","C","P",22,2,44,201,0.930735930735931
"ANT2297","IPCAS5","A","F","N","G","C","L",22,2,44,201,0.925324675324675
"ANT493","IPCAS5","A","F","N","G","D","N",22,2,44,71,0.872294372294372
"ANT1303","IPCAS5","A","F","N","G","D","P",22,2,44,71,0.869588744588745
"ANT2298","IPCAS5","A","F","N","G","D","L",22,2,44,71,0.83008658008658
"ANT494","IPCAS5","A","F","N","G","H","N",22,2,44,112,0.902056277056277
"ANT1304","IPCAS5","A","F","N","G","H","P",22,2,44,112,0.902056277056277
"ANT2299","IPCAS5","A","F","N","G","H","L",22,2,44,112,0.874458874458874
"ANT495","IPCAS5","A","F","N","N","A","N",22,2,44,117,0.862554112554113
"ANT1305","IPCAS5","A","F","N","N","A","P",22,2,44,117,0.917207792207792
"ANT2300","IPCAS5","A","F","N","N","A","L",22,2,44,117,0.819805194805195
"ANT496","IPCAS5","A","F","N","N","C","N",22,2,44,201,0.871212121212121
"ANT1306","IPCAS5","A","F","N","N","C","P",22,2,44,201,0.957251082251082
"ANT2301","IPCAS5","A","F","N","N","C","L",22,2,44,201,0.862012987012987
"ANT497","IPCAS5","A","F","N","N","D","N",22,2,44,71,0.835497835497836
"ANT1307","IPCAS5","A","F","N","N","D","P",22,2,44,71,0.903138528138528
"ANT2302","IPCAS5","A","F","N","N","D","L",22,2,44,71,0.756493506493507
"ANT498","IPCAS5","A","F","N","N","H","N",22,2,44,112,0.849025974025974
"ANT1308","IPCAS5","A","F","N","N","H","P",22,2,44,112,0.908008658008658
"ANT2303","IPCAS5","A","F","N","N","H","L",22,2,44,112,0.825757575757576
"ANT499","IPCAS5","A","N","S","G","A","N",22,2,44,117,0.902597402597403
"ANT1309","IPCAS5","A","N","S","G","A","P",22,2,44,117,0.893398268398268
"ANT2304","IPCAS5","A","N","S","G","A","L",22,2,44,117,0.893939393939394
"ANT500","IPCAS5","A","N","S","G","C","N",22,2,44,201,0.938311688311688
"ANT1310","IPCAS5","A","N","S","G","C","P",22,2,44,201,0.928571428571429
"ANT2305","IPCAS5","A","N","S","G","C","L",22,2,44,201,0.908549783549784
"ANT501","IPCAS5","A","N","S","G","D","N",22,2,44,71,0.864177489177489
"ANT1311","IPCAS5","A","N","S","G","D","P",22,2,44,71,0.860930735930736
"ANT2306","IPCAS5","A","N","S","G","D","L",22,2,44,71,0.872835497835498
"ANT502","IPCAS5","A","N","S","G","H","N",22,2,44,112,0.896103896103896
"ANT1312","IPCAS5","A","N","S","G","H","P",22,2,44,112,0.909090909090909
"ANT2307","IPCAS5","A","N","S","G","H","L",22,2,44,112,0.887445887445887
"ANT503","IPCAS5","A","N","S","N","A","N",22,2,44,117,0.853896103896104
"ANT1313","IPCAS5","A","N","S","N","A","P",22,2,44,117,0.911255411255411
"ANT2308","IPCAS5","A","N","S","N","A","L",22,2,44,117,0.821969696969697
"ANT504","IPCAS5","A","N","S","N","C","N",22,2,44,201,0.874458874458874
"ANT1314","IPCAS5","A","N","S","N","C","P",22,2,44,201,0.955627705627706
"ANT2309","IPCAS5","A","N","S","N","C","L",22,2,44,201,0.843073593073593
"ANT505","IPCAS5","A","N","S","N","D","N",22,2,44,71,0.825757575757576
"ANT1315","IPCAS5","A","N","S","N","D","P",22,2,44,71,0.908008658008658
"ANT2310","IPCAS5","A","N","S","N","D","L",22,2,44,71,0.737554112554113
"ANT506","IPCAS5","A","N","S","N","H","N",22,2,44,112,0.826839826839827
"ANT1316","IPCAS5","A","N","S","N","H","P",22,2,44,112,0.91991341991342
"ANT2311","IPCAS5","A","N","S","N","H","L",22,2,44,112,0.817640692640693
"ANT507","IPCAS5","A","N","N","G","A","N",22,2,44,117,0.898268398268398
"ANT1317","IPCAS5","A","N","N","G","A","P",22,2,44,117,0.890692640692641
"ANT2312","IPCAS5","A","N","N","G","A","L",22,2,44,117,0.878246753246753
"ANT508","IPCAS5","A","N","N","G","C","N",22,2,44,201,0.936147186147186
"ANT1318","IPCAS5","A","N","N","G","C","P",22,2,44,201,0.925324675324675
"ANT2313","IPCAS5","A","N","N","G","C","L",22,2,44,201,0.918290043290043
"ANT509","IPCAS5","A","N","N","G","D","N",22,2,44,71,0.863636363636364
"ANT1319","IPCAS5","A","N","N","G","D","P",22,2,44,71,0.857683982683983
"ANT2314","IPCAS5","A","N","N","G","D","L",22,2,44,71,0.873376623376623
"ANT510","IPCAS5","A","N","N","G","H","N",22,2,44,112,0.890692640692641
"ANT1320","IPCAS5","A","N","N","G","H","P",22,2,44,112,0.910714285714286
"ANT2315","IPCAS5","A","N","N","G","H","L",22,2,44,112,0.886363636363636
"ANT511","IPCAS5","A","N","N","N","A","N",22,2,44,117,0.851731601731602
"ANT1321","IPCAS5","A","N","N","N","A","P",22,2,44,117,0.908549783549784
"ANT2316","IPCAS5","A","N","N","N","A","L",22,2,44,117,0.80465367965368
"ANT512","IPCAS5","A","N","N","N","C","N",22,2,44,201,0.872835497835498
"ANT1322","IPCAS5","A","N","N","N","C","P",22,2,44,201,0.957792207792208
"ANT2317","IPCAS5","A","N","N","N","C","L",22,2,44,201,0.838203463203463
"ANT513","IPCAS5","A","N","N","N","D","N",22,2,44,71,0.818181818181818
"ANT1323","IPCAS5","A","N","N","N","D","P",22,2,44,71,0.906385281385281
"ANT2318","IPCAS5","A","N","N","N","D","L",22,2,44,71,0.727813852813853
"ANT514","IPCAS5","A","N","N","N","H","N",22,2,44,112,0.817640692640693
"ANT1324","IPCAS5","A","N","N","N","H","P",22,2,44,112,0.918831168831169
"ANT2319","IPCAS5","A","N","N","N","H","L",22,2,44,112,0.812229437229437
"FSL483","IPCAS5","F","F","S","G","A","N",22,2,44,117,0.911255411255411
"FSL1293","IPCAS5","F","F","S","G","A","P",22,2,44,117,0.905844155844156
"FSL2288","IPCAS5","F","F","S","G","A","L",22,2,44,117,0.888528138528139
"FSL484","IPCAS5","F","F","S","G","C","N",22,2,44,201,0.94047619047619
"FSL1294","IPCAS5","F","F","S","G","C","P",22,2,44,201,0.92965367965368
"FSL2289","IPCAS5","F","F","S","G","C","L",22,2,44,201,0.919372294372294
"FSL485","IPCAS5","F","F","S","G","D","N",22,2,44,71,0.886363636363636
"FSL1295","IPCAS5","F","F","S","G","D","P",22,2,44,71,0.876082251082251
"FSL2290","IPCAS5","F","F","S","G","D","L",22,2,44,71,0.858766233766234
"FSL486","IPCAS5","F","F","S","G","H","N",22,2,44,112,0.911796536796537
"FSL1296","IPCAS5","F","F","S","G","H","P",22,2,44,112,0.908008658008658
"FSL2291","IPCAS5","F","F","S","G","H","L",22,2,44,112,0.86525974025974
"FSL487","IPCAS5","F","F","S","N","A","N",22,2,44,117,0.876623376623377
"FSL1297","IPCAS5","F","F","S","N","A","P",22,2,44,117,0.912878787878788
"FSL2292","IPCAS5","F","F","S","N","A","L",22,2,44,117,0.817099567099567
"FSL488","IPCAS5","F","F","S","N","C","N",22,2,44,201,0.892316017316017
"FSL1298","IPCAS5","F","F","S","N","C","P",22,2,44,201,0.958333333333333
"FSL2293","IPCAS5","F","F","S","N","C","L",22,2,44,201,0.870670995670996
"FSL489","IPCAS5","F","F","S","N","D","N",22,2,44,71,0.853896103896104
"FSL1299","IPCAS5","F","F","S","N","D","P",22,2,44,71,0.90530303030303
"FSL2294","IPCAS5","F","F","S","N","D","L",22,2,44,71,0.778679653679654
"FSL490","IPCAS5","F","F","S","N","H","N",22,2,44,112,0.857142857142857
"FSL1300","IPCAS5","F","F","S","N","H","P",22,2,44,112,0.915584415584416
"FSL2295","IPCAS5","F","F","S","N","H","L",22,2,44,112,0.844155844155844
"FSL491","IPCAS5","F","F","N","G","A","N",22,2,44,117,0.909090909090909
"FSL1301","IPCAS5","F","F","N","G","A","P",22,2,44,117,0.903138528138528
"FSL2296","IPCAS5","F","F","N","G","A","L",22,2,44,117,0.887987012987013
"FSL492","IPCAS5","F","F","N","G","C","N",22,2,44,201,0.941017316017316
"FSL1302","IPCAS5","F","F","N","G","C","P",22,2,44,201,0.929112554112554
"FSL2297","IPCAS5","F","F","N","G","C","L",22,2,44,201,0.919372294372294
"FSL493","IPCAS5","F","F","N","G","D","N",22,2,44,71,0.884199134199134
"FSL1303","IPCAS5","F","F","N","G","D","P",22,2,44,71,0.878246753246753
"FSL2298","IPCAS5","F","F","N","G","D","L",22,2,44,71,0.850108225108225
"FSL494","IPCAS5","F","F","N","G","H","N",22,2,44,112,0.908549783549784
"FSL1304","IPCAS5","F","F","N","G","H","P",22,2,44,112,0.907467532467532
"FSL2299","IPCAS5","F","F","N","G","H","L",22,2,44,112,0.875
"FSL495","IPCAS5","F","F","N","N","A","N",22,2,44,117,0.866341991341991
"FSL1305","IPCAS5","F","F","N","N","A","P",22,2,44,117,0.912337662337662
"FSL2300","IPCAS5","F","F","N","N","A","L",22,2,44,117,0.80952380952381
"FSL496","IPCAS5","F","F","N","N","C","N",22,2,44,201,0.880952380952381
"FSL1306","IPCAS5","F","F","N","N","C","P",22,2,44,201,0.958333333333333
"FSL2301","IPCAS5","F","F","N","N","C","L",22,2,44,201,0.863095238095238
"FSL497","IPCAS5","F","F","N","N","D","N",22,2,44,71,0.845779220779221
"FSL1307","IPCAS5","F","F","N","N","D","P",22,2,44,71,0.906385281385281
"FSL2302","IPCAS5","F","F","N","N","D","L",22,2,44,71,0.772186147186147
"FSL498","IPCAS5","F","F","N","N","H","N",22,2,44,112,0.847402597402597
"FSL1308","IPCAS5","F","F","N","N","H","P",22,2,44,112,0.916666666666667
"FSL2303","IPCAS5","F","F","N","N","H","L",22,2,44,112,0.841450216450216
"FSL499","IPCAS5","F","N","S","G","A","N",22,2,44,117,0.90530303030303
"FSL1309","IPCAS5","F","N","S","G","A","P",22,2,44,117,0.882034632034632
"FSL2304","IPCAS5","F","N","S","G","A","L",22,2,44,117,0.875541125541126
"FSL500","IPCAS5","F","N","S","G","C","N",22,2,44,201,0.94047619047619
"FSL1310","IPCAS5","F","N","S","G","C","P",22,2,44,201,0.931277056277056
"FSL2305","IPCAS5","F","N","S","G","C","L",22,2,44,201,0.920454545454545
"FSL501","IPCAS5","F","N","S","G","D","N",22,2,44,71,0.877705627705628
"FSL1311","IPCAS5","F","N","S","G","D","P",22,2,44,71,0.864177489177489
"FSL2306","IPCAS5","F","N","S","G","D","L",22,2,44,71,0.877164502164502
"FSL502","IPCAS5","F","N","S","G","H","N",22,2,44,112,0.900974025974026
"FSL1312","IPCAS5","F","N","S","G","H","P",22,2,44,112,0.906926406926407
"FSL2307","IPCAS5","F","N","S","G","H","L",22,2,44,112,0.883658008658009
"FSL503","IPCAS5","F","N","S","N","A","N",22,2,44,117,0.854978354978355
"FSL1313","IPCAS5","F","N","S","N","A","P",22,2,44,117,0.908549783549784
"FSL2308","IPCAS5","F","N","S","N","A","L",22,2,44,117,0.819805194805195
"FSL504","IPCAS5","F","N","S","N","C","N",22,2,44,201,0.878787878787879
"FSL1314","IPCAS5","F","N","S","N","C","P",22,2,44,201,0.958874458874459
"FSL2309","IPCAS5","F","N","S","N","C","L",22,2,44,201,0.845779220779221
"FSL505","IPCAS5","F","N","S","N","D","N",22,2,44,71,0.821969696969697
"FSL1315","IPCAS5","F","N","S","N","D","P",22,2,44,71,0.911796536796537
"FSL2310","IPCAS5","F","N","S","N","D","L",22,2,44,71,0.735930735930736
"FSL506","IPCAS5","F","N","S","N","H","N",22,2,44,112,0.833333333333333
"FSL1316","IPCAS5","F","N","S","N","H","P",22,2,44,112,0.924242424242424
"FSL2311","IPCAS5","F","N","S","N","H","L",22,2,44,112,0.824134199134199
"FSL507","IPCAS5","F","N","N","G","A","N",22,2,44,117,0.897727272727273
"FSL1317","IPCAS5","F","N","N","G","A","P",22,2,44,117,0.879329004329004
"FSL2312","IPCAS5","F","N","N","G","A","L",22,2,44,117,0.872294372294372
"FSL508","IPCAS5","F","N","N","G","C","N",22,2,44,201,0.94047619047619
"FSL1318","IPCAS5","F","N","N","G","C","P",22,2,44,201,0.926406926406926
"FSL2313","IPCAS5","F","N","N","G","C","L",22,2,44,201,0.917207792207792
"FSL509","IPCAS5","F","N","N","G","D","N",22,2,44,71,0.873376623376623
"FSL1319","IPCAS5","F","N","N","G","D","P",22,2,44,71,0.859848484848485
"FSL2314","IPCAS5","F","N","N","G","D","L",22,2,44,71,0.873917748917749
"FSL510","IPCAS5","F","N","N","G","H","N",22,2,44,112,0.898809523809524
"FSL1320","IPCAS5","F","N","N","G","H","P",22,2,44,112,0.907467532467532
"FSL2315","IPCAS5","F","N","N","G","H","L",22,2,44,112,0.883116883116883
"FSL511","IPCAS5","F","N","N","N","A","N",22,2,44,117,0.851190476190476
"FSL1321","IPCAS5","F","N","N","N","A","P",22,2,44,117,0.904220779220779
"FSL2316","IPCAS5","F","N","N","N","A","L",22,2,44,117,0.804112554112554
"FSL512","IPCAS5","F","N","N","N","C","N",22,2,44,201,0.875
"FSL1322","IPCAS5","F","N","N","N","C","P",22,2,44,201,0.957251082251082
"FSL2317","IPCAS5","F","N","N","N","C","L",22,2,44,201,0.838203463203463
"FSL513","IPCAS5","F","N","N","N","D","N",22,2,44,71,0.821969696969697
"FSL1323","IPCAS5","F","N","N","N","D","P",22,2,44,71,0.912878787878788
"FSL2318","IPCAS5","F","N","N","N","D","L",22,2,44,71,0.729978354978355
"FSL514","IPCAS5","F","N","N","N","H","N",22,2,44,112,0.829545454545455
"FSL1324","IPCAS5","F","N","N","N","H","P",22,2,44,112,0.920995670995671
"FSL2319","IPCAS5","F","N","N","N","H","L",22,2,44,112,0.823051948051948
"ANT515","IPCAS6","A","F","S","G","A","N",2,15,30,117,0.97031746031746
"ANT1325","IPCAS6","A","F","S","G","A","P",2,15,30,117,0.987460317460317
"ANT2320","IPCAS6","A","F","S","G","A","L",2,15,30,117,0.954126984126984
"ANT516","IPCAS6","A","F","S","G","C","N",2,15,30,201,0.999206349206349
"ANT1326","IPCAS6","A","F","S","G","C","P",2,15,30,201,0.999365079365079
"ANT2321","IPCAS6","A","F","S","G","C","L",2,15,30,201,0.999365079365079
"ANT517","IPCAS6","A","F","S","G","D","N",2,15,30,71,0.97
"ANT1327","IPCAS6","A","F","S","G","D","P",2,15,30,71,0.978253968253968
"ANT2322","IPCAS6","A","F","S","G","D","L",2,15,30,71,0.943333333333333
"ANT518","IPCAS6","A","F","S","G","H","N",2,15,30,112,0.981904761904762
"ANT1328","IPCAS6","A","F","S","G","H","P",2,15,30,112,0.999206349206349
"ANT2323","IPCAS6","A","F","S","G","H","L",2,15,30,112,0.84047619047619
"ANT519","IPCAS6","A","F","S","N","A","N",2,15,30,117,0.990952380952381
"ANT1329","IPCAS6","A","F","S","N","A","P",2,15,30,117,0.997301587301587
"ANT2324","IPCAS6","A","F","S","N","A","L",2,15,30,117,0.894285714285714
"ANT520","IPCAS6","A","F","S","N","C","N",2,15,30,201,0.998571428571429
"ANT1330","IPCAS6","A","F","S","N","C","P",2,15,30,201,1
"ANT2325","IPCAS6","A","F","S","N","C","L",2,15,30,201,0.969206349206349
"ANT521","IPCAS6","A","F","S","N","D","N",2,15,30,71,0.965238095238095
"ANT1331","IPCAS6","A","F","S","N","D","P",2,15,30,71,0.973333333333333
"ANT2326","IPCAS6","A","F","S","N","D","L",2,15,30,71,0.827142857142857
"ANT522","IPCAS6","A","F","S","N","H","N",2,15,30,112,0.988412698412698
"ANT1332","IPCAS6","A","F","S","N","H","P",2,15,30,112,0.997619047619048
"ANT2327","IPCAS6","A","F","S","N","H","L",2,15,30,112,0.823968253968254
"ANT523","IPCAS6","A","F","N","G","A","N",2,15,30,117,0.973809523809524
"ANT1333","IPCAS6","A","F","N","G","A","P",2,15,30,117,0.993015873015873
"ANT2328","IPCAS6","A","F","N","G","A","L",2,15,30,117,0.959206349206349
"ANT524","IPCAS6","A","F","N","G","C","N",2,15,30,201,0.999206349206349
"ANT1334","IPCAS6","A","F","N","G","C","P",2,15,30,201,0.99968253968254
"ANT2329","IPCAS6","A","F","N","G","C","L",2,15,30,201,0.997460317460317
"ANT525","IPCAS6","A","F","N","G","D","N",2,15,30,71,0.96984126984127
"ANT1335","IPCAS6","A","F","N","G","D","P",2,15,30,71,0.97952380952381
"ANT2330","IPCAS6","A","F","N","G","D","L",2,15,30,71,0.954444444444444
"ANT526","IPCAS6","A","F","N","G","H","N",2,15,30,112,0.980793650793651
"ANT1336","IPCAS6","A","F","N","G","H","P",2,15,30,112,0.99968253968254
"ANT2331","IPCAS6","A","F","N","G","H","L",2,15,30,112,0.842380952380952
"ANT527","IPCAS6","A","F","N","N","A","N",2,15,30,117,0.991904761904762
"ANT1337","IPCAS6","A","F","N","N","A","P",2,15,30,117,0.997619047619048
"ANT2332","IPCAS6","A","F","N","N","A","L",2,15,30,117,0.890952380952381
"ANT528","IPCAS6","A","F","N","N","C","N",2,15,30,201,0.999365079365079
"ANT1338","IPCAS6","A","F","N","N","C","P",2,15,30,201,1
"ANT2333","IPCAS6","A","F","N","N","C","L",2,15,30,201,0.962380952380952
"ANT529","IPCAS6","A","F","N","N","D","N",2,15,30,71,0.965873015873016
"ANT1339","IPCAS6","A","F","N","N","D","P",2,15,30,71,0.973015873015873
"ANT2334","IPCAS6","A","F","N","N","D","L",2,15,30,71,0.821111111111111
"ANT530","IPCAS6","A","F","N","N","H","N",2,15,30,112,0.990476190476191
"ANT1340","IPCAS6","A","F","N","N","H","P",2,15,30,112,0.996666666666667
"ANT2335","IPCAS6","A","F","N","N","H","L",2,15,30,112,0.822539682539683
"ANT531","IPCAS6","A","N","S","G","A","N",2,15,30,117,0.976984126984127
"ANT1341","IPCAS6","A","N","S","G","A","P",2,15,30,117,0.992539682539682
"ANT2336","IPCAS6","A","N","S","G","A","L",2,15,30,117,0.982222222222222
"ANT532","IPCAS6","A","N","S","G","C","N",2,15,30,201,0.993968253968254
"ANT1342","IPCAS6","A","N","S","G","C","P",2,15,30,201,0.998888888888889
"ANT2337","IPCAS6","A","N","S","G","C","L",2,15,30,201,0.998253968253968
"ANT533","IPCAS6","A","N","S","G","D","N",2,15,30,71,0.971428571428571
"ANT1343","IPCAS6","A","N","S","G","D","P",2,15,30,71,0.987936507936508
"ANT2338","IPCAS6","A","N","S","G","D","L",2,15,30,71,0.964761904761905
"ANT534","IPCAS6","A","N","S","G","H","N",2,15,30,112,0.987460317460317
"ANT1344","IPCAS6","A","N","S","G","H","P",2,15,30,112,0.999047619047619
"ANT2339","IPCAS6","A","N","S","G","H","L",2,15,30,112,0.841746031746032
"ANT535","IPCAS6","A","N","S","N","A","N",2,15,30,117,0.959206349206349
"ANT1345","IPCAS6","A","N","S","N","A","P",2,15,30,117,0.999365079365079
"ANT2340","IPCAS6","A","N","S","N","A","L",2,15,30,117,0.921269841269841
"ANT536","IPCAS6","A","N","S","N","C","N",2,15,30,201,0.964761904761905
"ANT1346","IPCAS6","A","N","S","N","C","P",2,15,30,201,1
"ANT2341","IPCAS6","A","N","S","N","C","L",2,15,30,201,0.974603174603175
